,plant_english_name,plant_infos,plant_water_need,plant_light_need,plant_fertilizer_need,plant_defficulty_level,plant_water_Needs,plant_sunlight_needs,plant_toxicity,plant_humidity,plant_soil,plant_dormancy,plant_flower,plant_growth_pattern,plant_common_issues,plant_yellow_leaves
50,Bunny Ears Cactus,"Bunny Ears Cactus is a super popular houseplant 🌿 that is isn’t challenging to grow and needs very little water to thrive. They do best in long-lasting, direct light ☀️ and should be less than 1 foot from a window.","Bunny Ears Cactus needs 0.5 cups of water every 12 when it doesn’t get direct sunlight and is potted in a 5"" pot.","Bunny Ears Cactus love being close to bright, sunny windows 😎.",Most potting soils come with ample nutrients which plants use to produce new growth.,"
                        
                        Bunny Ears Cactus is generally easy to care for, though some plant parents report facing challenges with growing it. Check out the reviews down below to read more about their experiences!
                        
                    ","
                        
                        Bunny Ears Cactus thrives in dry soil and should be watered sparingly. Use our water calculator to personalize watering recommendations to your environment or download Greg for more advanced recommendations for all of your plants.
                        
                    ","
                        
                        Bunny Ears Cactus requires abundant, bright and direct light. Place it less than one foot from a window to ensure it receives enough light to survive 💪. Select your region to see how the current weather in your area affects the placement in your home 🏡. 
                        
                    ","
                    Greg does not have confirmed data on this plant’s toxicity. If you, a family member, or a pet consumes plant material of unknown toxicity, it’s always best to consult a medical professional.
                    ",,"
                        
                        Bunny Ears Cactus does best in well-draining soil. A good soil will contain lots of organic matter such as coco coir as well as perlite or vermiculite to help with drainage. Adding a handful of perlite to regular store-bought potting soil should do the trick!
                        
                    ",,,"
                        
                        Bunny Ears Cactus grows vertically and new growth will emerge from the top of the plant.
                        
                    ",,
51,Bird's Nest Fern,Bird's Nest Fern is a super popular houseplant 🌿 that is isn’t challenging to grow and needs lots of water to thrive. They do best in abundant sunlight ☀ and should be less than 3 feet from a window.,"Bird's Nest Fern needs 0.5 cups of water every 7 when it doesn’t get direct sunlight and is potted in a 5"" pot.","Bird's Nest Fern may have difficulty thriving, and will drop leaves 🍃, without ample sunlight. ",Most potting soils come with ample nutrients which plants use to produce new growth.,"
                        
                        Bird's Nest Fern is generally easy to care for, though some plant parents report facing challenges with growing it. Check out the reviews down below to read more about their experiences!
                        
                    ","
                        
                        Bird's Nest Fern is sensitive to dry soil and should be watered frequently. Use our water calculator to personalize watering recommendations to your environment or download Greg for more advanced recommendations for all of your plants. 
                        
                    ","
                        
                        Bird's Nest Fern may have difficulty thriving and will drop leaves 🍃 without ample sunlight. Place it less than 3 feet from a window to maximize the potential for growth. Select your region to see how the current weather in your area affects the placement in your home 🏡. 
                        
                    ","
                    Greg does not have confirmed data on this plant’s toxicity. If you, a family member, or a pet consumes plant material of unknown toxicity, it’s always best to consult a medical professional.
                    ",,"
                        
                        Bird's Nest Fern is very sensitive to dry soil, so choose a potting soil that retains moisture. A good soil will still drain well and contain lots of organic matter such as coco coir or sphagnum moss.
                        
                    ",,,"
                        
                        Bird's Nest Fern grows vertically and new growth will emerge from the top of the plant.
                        
                    ",,
52,Burro's Tail,"The burro’s tail is a charismatic plant that is very easy to propagate. Each petal can be carefully removed to create a new plant. In the wild, they are native to an extremely localized area of one hillside in Mexico. Plants that are only found in a small region are known as endemic. Now a popular houseplant, they can be found in homes around the world! 🐴","Burro's Tail needs 0.5 cups of water every 12 when it doesn’t get direct sunlight and is potted in a 5"" pot.","Burro's Tail love being close to bright, sunny windows 😎.",Most potting soils come with ample nutrients which plants use to produce new growth.,"
                        
                        Burro's Tail is generally easy to care for, though some plant parents report facing challenges with growing it. Check out the reviews down below to read more about their experiences!
                        
                    ","
                        
                        Burro's Tail thrives in dry soil and should be watered sparingly. Use our water calculator to personalize watering recommendations to your environment or download Greg for more advanced recommendations for all of your plants.
                        
                    ","
                        
                        Burro's Tail requires abundant, bright and direct light. Place it less than one foot from a window to ensure it receives enough light to survive 💪. Select your region to see how the current weather in your area affects the placement in your home 🏡. 
                        
                    ","
                    Burro's Tail is not known to cause harm to humans or pets. Regardless, if you, a family member, a cat, or dog has ingested any plant material, please consult a doctor or a veterinarian. 
                    ","
                        
                        Burro's Tail prefers dry environments. Providing extra humidity or misting your plant allows water to linger on leaves, which can create the perfect environment for harmful types of fungi.
                        
                    ","
                        
                        Burro's Tail is very sensitive to wet soil, so choose a potting soil that drains very well and doesn’t retain too much moisture. A good soil will have lots of perlite or vermiculite for drainage and some organic matter for nutrition. A few handfuls of perlite added to regular store-bought cactus soil will do the trick!
                        
                    ",It’s common for Burro's Tail to go dormant in the summertime and you may notice their growth slow down. Waterings should be spaced out more during this time.,"
Yes, you may see your Burro's Tail bloom with the right amount of sunlight and water.
                        
                    ","
                        
                        Burro's Tail has long, trailing foliage which makes them a great addition to a hanging planter. The newest growth will emerge from the tip of the stems.
                        
                    ","

Overwatering is a likely cause of issues with Burro's Tail. These plants are very sensitive to wet soil so if you notice your plant becoming squishy or translucent, overwatering is the likely culprit.
 Cut your plant just past where the rot ends and allow it to callus over for a few days before replanting it in fresh, dry soil. Download Greg to make sure your plant never gets overwatered again!
",
53,Air Plant,,"Air Plant needs 0.5 cups of water every 12 when it doesn’t get direct sunlight and is potted in a 5"" pot.","Air Plant love being close to bright, sunny windows 😎.",Most potting soils come with ample nutrients which plants use to produce new growth.,"
                        
                        Air Plant is generally easy to care for, though some plant parents report facing challenges with growing it. Check out the reviews down below to read more about their experiences!
                        
                    ","
                        
                        Air Plant thrives in dry soil and should be watered sparingly. Use our water calculator to personalize watering recommendations to your environment or download Greg for more advanced recommendations for all of your plants.
                        
                    ","
                        
                        Air Plant requires abundant, bright and direct light. Place it less than one foot from a window to ensure it receives enough light to survive 💪. Select your region to see how the current weather in your area affects the placement in your home 🏡. 
                        
                    ","
                    Greg does not have confirmed data on this plant’s toxicity. If you, a family member, or a pet consumes plant material of unknown toxicity, it’s always best to consult a medical professional.
                    ",,,,,,,
54,Polka Dot Begonia,,"Polka Dot Begonia needs 0.5 cups of water every 9 when it doesn’t get direct sunlight and is potted in a 5"" pot.","Polka Dot Begonia may have difficulty thriving, and will drop leaves 🍃, without ample sunlight. ",Most potting soils come with ample nutrients which plants use to produce new growth.,,"
                        
                        Polka Dot Begonia prefers for the soil to dry out between waterings and should be watered regularly. Use our water calculator to personalize watering recommendations to your environment or download Greg for more advanced recommendations for all of your plants.
                        
                    ","
                        
                        Polka Dot Begonia may have difficulty thriving and will drop leaves 🍃 without ample sunlight. Place it less than 3 feet from a window to maximize the potential for growth. Select your region to see how the current weather in your area affects the placement in your home 🏡. 
                        
                    ","
                    Greg does not have confirmed data on this plant’s toxicity. If you, a family member, or a pet consumes plant material of unknown toxicity, it’s always best to consult a medical professional.
                    ","
                        
                        Polka Dot Begonia doesn’t require additional humidity. Plants absorb most water through their root system rather than their leaves, so the best way to provide humidity for your plants is through watering the soil.
                        
                    ","
                        
                        Polka Dot Begonia does best in well-draining soil. A good soil will contain lots of organic matter such as coco coir as well as perlite or vermiculite to help with drainage. Adding a handful of perlite to regular store-bought potting soil should do the trick!
                        
                    ","Polka Dot Begonia does not have a typical pattern of dormancy. If you notice their growth slowing down substantially, double check that they are getting enough sunlight and water to thrive!",,,,
55,Panda Plant,,"Panda Plant needs 0.5 cups of water every 12 when it doesn’t get direct sunlight and is potted in a 5"" pot.","Panda Plant love being close to bright, sunny windows 😎.",Most potting soils come with ample nutrients which plants use to produce new growth.,,"
                        
                        Panda Plant thrives in dry soil and should be watered sparingly. Use our water calculator to personalize watering recommendations to your environment or download Greg for more advanced recommendations for all of your plants.
                        
                    ","
                        
                        Panda Plant requires abundant, bright and direct light. Place it less than one foot from a window to ensure it receives enough light to survive 💪. Select your region to see how the current weather in your area affects the placement in your home 🏡. 
                        
                    ","
                    Greg does not have confirmed data on this plant’s toxicity. If you, a family member, or a pet consumes plant material of unknown toxicity, it’s always best to consult a medical professional.
                    ","
                        
                        Panda Plant prefers dry environments. Providing extra humidity or misting your plant allows water to linger on leaves, which can create the perfect environment for harmful types of fungi.
                        
                    ","
                        
                        Panda Plant is very sensitive to wet soil, so choose a potting soil that drains very well and doesn’t retain too much moisture. A good soil will have lots of perlite or vermiculite for drainage and some organic matter for nutrition. A few handfuls of perlite added to regular store-bought cactus soil will do the trick!
                        
                    ",It’s common for Panda Plant to go dormant in the summertime and you may notice their growth slow down. Waterings should be spaced out more during this time.,,,,
56,Venus Fly Trap,"Venus Flytrap is a carnivorous plant native to North and South Carolina. It is winter hardy in USDA zones 7-10, but can be grown in zones 5 and 6. It needs high humidity, wet, sandy, humusy soil, and sun to partial shade.","Venus Fly Trap needs 0.5 cups of water every 7 when it doesn’t get direct sunlight and is potted in a 5"" pot.","Venus Fly Trap love being close to bright, sunny windows 😎.",Most potting soils come with ample nutrients which plants use to produce new growth.,"
                        
                        Venus Fly Trap can be challenging to care for, according to some plant parents. Check out the reviews down below to learn from their experiences!
                        
                    ","
                        
                        Venus Fly Trap is sensitive to dry soil and should be watered frequently. Use our water calculator to personalize watering recommendations to your environment or download Greg for more advanced recommendations for all of your plants. 
                        
                    ","
                        
                        Venus Fly Trap requires abundant, bright and direct light. Place it less than one foot from a window to ensure it receives enough light to survive 💪. Select your region to see how the current weather in your area affects the placement in your home 🏡. 
                        
                    ","
                    Venus Fly Trap is not known to cause harm to humans or pets. Regardless, if you, a family member, a cat, or dog has ingested any plant material, please consult a doctor or a veterinarian. 
                    ",,"
                        
                        Venus Fly Trap does best in well-draining soil. A good soil will contain lots of organic matter such as coco coir as well as perlite or vermiculite to help with drainage. Adding a handful of perlite to regular store-bought potting soil should do the trick!
                        
                    ",,,"
                        
                        Venus Fly Trap is a clumping plant, meaning new growth will emerge from the soil around the parent plant.
                        
                    ",,
57,Rose Calathea,,"Rose Calathea needs 0.5 cups of water every 9 when it doesn’t get direct sunlight and is potted in a 5"" pot.","Rose Calathea may have difficulty thriving, and will drop leaves 🍃, without ample sunlight. ",Most potting soils come with ample nutrients which plants use to produce new growth.,"
                        
                        Rose Calathea is generally easy to care for, though some plant parents report facing challenges with growing it. Check out the reviews down below to read more about their experiences!
                        
                    ","
                        
                        Rose Calathea prefers for the soil to dry out between waterings and should be watered regularly. Use our water calculator to personalize watering recommendations to your environment or download Greg for more advanced recommendations for all of your plants.
                        
                    ","
                        
                        Rose Calathea may have difficulty thriving and will drop leaves 🍃 without ample sunlight. Place it less than 3 feet from a window to maximize the potential for growth. Select your region to see how the current weather in your area affects the placement in your home 🏡. 
                        
                    ","
                    Greg does not have confirmed data on this plant’s toxicity. If you, a family member, or a pet consumes plant material of unknown toxicity, it’s always best to consult a medical professional.
                    ",,"
                        
                        Rose Calathea does best in well-draining soil. A good soil will contain lots of organic matter such as coco coir as well as perlite or vermiculite to help with drainage. Adding a handful of perlite to regular store-bought potting soil should do the trick!
                        
                    ",,,,,
58,Philodendron 'Birkin',,"Philodendron 'Birkin' needs 0.5 cups of water every 9 when it doesn’t get direct sunlight and is potted in a 5"" pot.",Philodendron 'Birkin' can tolerate being far from a window and light source. ,Most potting soils come with ample nutrients which plants use to produce new growth.,,"
                        
                        Philodendron 'Birkin' prefers for the soil to dry out between waterings and should be watered regularly. Use our water calculator to personalize watering recommendations to your environment or download Greg for more advanced recommendations for all of your plants.
                        
                    ","
                        
                        Philodendron 'Birkin' can tolerate being far from a window and light source. Place it less than 6 feet from a south-facing window to ensure it receives enough light to survive 💪. Select your region to see how the current weather in your area affects the placement in your home 🏡.
                        
                    ","
                    Greg does not have confirmed data on this plant’s toxicity. If you, a family member, or a pet consumes plant material of unknown toxicity, it’s always best to consult a medical professional.
                    ","
                        
                        Philodendron 'Birkin' doesn’t require additional humidity. Plants absorb most water through their root system rather than their leaves, so the best way to provide humidity for your plants is through watering the soil.
                        
                    ","
                        
                        Philodendron 'Birkin' does best in well-draining soil. A good soil will contain lots of organic matter such as coco coir as well as perlite or vermiculite to help with drainage. Adding a handful of perlite to regular store-bought potting soil should do the trick!
                        
                    ","Philodendron 'Birkin' does not have a typical pattern of dormancy. If you notice their growth slowing down substantially, double check that they are getting enough sunlight and water to thrive!",,,,
59,Mini Monstera,,"Mini Monstera needs 0.5 cups of water every 9 when it doesn’t get direct sunlight and is potted in a 5"" pot.","Mini Monstera may have difficulty thriving, and will drop leaves 🍃, without ample sunlight. ",Most potting soils come with ample nutrients which plants use to produce new growth.,,"
                        
                        Mini Monstera prefers for the soil to dry out between waterings and should be watered regularly. Use our water calculator to personalize watering recommendations to your environment or download Greg for more advanced recommendations for all of your plants.
                        
                    ","
                        
                        Mini Monstera may have difficulty thriving and will drop leaves 🍃 without ample sunlight. Place it less than 3 feet from a window to maximize the potential for growth. Select your region to see how the current weather in your area affects the placement in your home 🏡. 
                        
                    ","
                    Greg does not have confirmed data on this plant’s toxicity. If you, a family member, or a pet consumes plant material of unknown toxicity, it’s always best to consult a medical professional.
                    ",,,,,,,
60,Cylindrical Snake Plant,,"Cylindrical Snake Plant needs 0.5 cups of water every 12 when it doesn’t get direct sunlight and is potted in a 5"" pot.",Cylindrical Snake Plant can tolerate being far from a window and light source. ,Most potting soils come with ample nutrients which plants use to produce new growth.,"
                        
                        Cylindrical Snake Plant is generally considered an easy-to-care-for plant and makes a great choice for beginners!
                        
                    ","
                        
                        Cylindrical Snake Plant thrives in dry soil and should be watered sparingly. Use our water calculator to personalize watering recommendations to your environment or download Greg for more advanced recommendations for all of your plants.
                        
                    ","
                        
                        Cylindrical Snake Plant can tolerate being far from a window and light source. Place it less than 6 feet from a south-facing window to ensure it receives enough light to survive 💪. Select your region to see how the current weather in your area affects the placement in your home 🏡.
                        
                    ","
                    Greg does not have confirmed data on this plant’s toxicity. If you, a family member, or a pet consumes plant material of unknown toxicity, it’s always best to consult a medical professional.
                    ","
                        
                        Cylindrical Snake Plant prefers dry environments. Providing extra humidity or misting your plant allows water to linger on leaves, which can create the perfect environment for harmful types of fungi.
                        
                    ","
                        
                        Cylindrical Snake Plant does best in well-draining soil. A good soil will contain lots of organic matter such as coco coir as well as perlite or vermiculite to help with drainage. Adding a handful of perlite to regular store-bought potting soil should do the trick!
                        
                    ",It’s common for Cylindrical Snake Plant to go dormant in the wintertime and you may notice their growth slow down. Waterings should be spaced out more during this time.,,,,
61,Avocado,,"Avocado needs 0.5 cups of water every 9 when it doesn’t get direct sunlight and is potted in a 5"" pot.","Avocado love being close to bright, sunny windows 😎.",Most potting soils come with ample nutrients which plants use to produce new growth.,"
                        
                        Avocado is generally considered an easy-to-care-for plant and makes a great choice for beginners!
                        
                    ","
                        
                        Avocado prefers for the soil to dry out between waterings and should be watered regularly. Use our water calculator to personalize watering recommendations to your environment or download Greg for more advanced recommendations for all of your plants.
                        
                    ","
                        
                        Avocado requires abundant, bright and direct light. Place it less than one foot from a window to ensure it receives enough light to survive 💪. Select your region to see how the current weather in your area affects the placement in your home 🏡. 
                        
                    ","
                    Avocado is not safe to consume. If you, a family member, or a pet has ingested any amount of plant material contact Poison Control, US (800) 222-1222, or your veterinarian. If you have children, cats, or dogs in the home, we suggest keeping this plant out of reach. 
                    ",,"
                        
                        Avocado does best in well-draining soil. A good soil will contain lots of organic matter such as coco coir as well as perlite or vermiculite to help with drainage. Adding a handful of perlite to regular store-bought potting soil should do the trick!
                        
                    ",,,"
                        
                        Avocado will branch off as it grows. To encourage branching, pinch off the newest growth at the tip and the stem will branch off into two.
                        
                    ",,
62,House Leek,"Common Houseleek is a species of flowering plant in the family Crassulaceae native to the mountains of southern Europe. It is cultivated in Europe for its appearance, and a Roman tradition that says it protects buildings against lightning strikes. It thrives in sandy or gravelly soils and will tolerate poor soils and some drought. It's at its best when planted in groups or massed as a ground cover.","House Leek needs 0.5 cups of water every 12 when it doesn’t get direct sunlight and is potted in a 5"" pot.","House Leek love being close to bright, sunny windows 😎.",Most potting soils come with ample nutrients which plants use to produce new growth.,"
                        
                        House Leek is generally considered an easy-to-care-for plant and makes a great choice for beginners!
                        
                    ","
                        
                        House Leek thrives in dry soil and should be watered sparingly. Use our water calculator to personalize watering recommendations to your environment or download Greg for more advanced recommendations for all of your plants.
                        
                    ","
                        
                        House Leek requires abundant, bright and direct light. Place it less than one foot from a window to ensure it receives enough light to survive 💪. Select your region to see how the current weather in your area affects the placement in your home 🏡. 
                        
                    ","
                    Greg does not have confirmed data on this plant’s toxicity. If you, a family member, or a pet consumes plant material of unknown toxicity, it’s always best to consult a medical professional.
                    ",,"
                        
                        House Leek does best in well-draining soil. A good soil will contain lots of organic matter such as coco coir as well as perlite or vermiculite to help with drainage. Adding a handful of perlite to regular store-bought potting soil should do the trick!
                        
                    ",,,"
                        
                        House Leek grows along the ground and sends out shoots which will spread across the soil. 
                        
                    ",,
63,African Violet,,"African Violet needs 0.5 cups of water every 9 when it doesn’t get direct sunlight and is potted in a 5"" pot.","African Violet love being close to bright, sunny windows 😎.",Most potting soils come with ample nutrients which plants use to produce new growth.,"
                        
                        African Violet is generally easy to care for, though some plant parents report facing challenges with growing it. Check out the reviews down below to read more about their experiences!
                        
                    ","
                        
                        African Violet prefers for the soil to dry out between waterings and should be watered regularly. Use our water calculator to personalize watering recommendations to your environment or download Greg for more advanced recommendations for all of your plants.
                        
                    ","
                        
                        African Violet requires abundant, bright and direct light. Place it less than one foot from a window to ensure it receives enough light to survive 💪. Select your region to see how the current weather in your area affects the placement in your home 🏡. 
                        
                    ","
                    Greg does not have confirmed data on this plant’s toxicity. If you, a family member, or a pet consumes plant material of unknown toxicity, it’s always best to consult a medical professional.
                    ",,"
                        
                        African Violet is very sensitive to dry soil, so choose a potting soil that retains moisture. A good soil will still drain well and contain lots of organic matter such as coco coir or sphagnum moss.
                        
                    ",,,,,
64,Neon Pothos,,"Neon Pothos needs 0.5 cups of water every 9 when it doesn’t get direct sunlight and is potted in a 5"" pot.",Neon Pothos can tolerate being far from a window and light source. ,Most potting soils come with ample nutrients which plants use to produce new growth.,,"
                        
                        Neon Pothos prefers for the soil to dry out between waterings and should be watered regularly. Use our water calculator to personalize watering recommendations to your environment or download Greg for more advanced recommendations for all of your plants.
                        
                    ","
                        
                        Neon Pothos can tolerate being far from a window and light source. Place it less than 6 feet from a south-facing window to ensure it receives enough light to survive 💪. Select your region to see how the current weather in your area affects the placement in your home 🏡.
                        
                    ","
                    Greg does not have confirmed data on this plant’s toxicity. If you, a family member, or a pet consumes plant material of unknown toxicity, it’s always best to consult a medical professional.
                    ","
                        
                        Neon Pothos doesn’t require additional humidity. Plants absorb most water through their root system rather than their leaves, so the best way to provide humidity for your plants is through watering the soil.
                        
                    ","
                        
                        Neon Pothos does best in well-draining soil. A good soil will contain lots of organic matter such as coco coir as well as perlite or vermiculite to help with drainage. Adding a handful of perlite to regular store-bought potting soil should do the trick!
                        
                    ",It’s common for Neon Pothos to go dormant in the wintertime and you may notice their growth slow down. Waterings should be spaced out more during this time.,,,,
65,White Bird of Paradise,"The highly sought after bird of paradise has been cultivated for nearly 250 years. Their showy flowers resemble a bird in flight, and give them their name. These majestic plants are pictured on the 50 cent rand in their native South Africa and are the floral emblem of Los Angeles. In the wild, they’re pollinated by sunbirds, a group of small birds with brightly colored and iridescent feathers. 🦜","White Bird of Paradise needs 0.5 cups of water every 9 when it doesn’t get direct sunlight and is potted in a 5"" pot.","White Bird of Paradise may have difficulty thriving, and will drop leaves 🍃, without ample sunlight. ",Most potting soils come with ample nutrients which plants use to produce new growth.,"
                        
                        White Bird of Paradise is generally considered an easy-to-care-for plant and makes a great choice for beginners!
                        
                    ","
                        
                        White Bird of Paradise prefers for the soil to dry out between waterings and should be watered regularly. Use our water calculator to personalize watering recommendations to your environment or download Greg for more advanced recommendations for all of your plants.
                        
                    ","
                        
                        White Bird of Paradise may have difficulty thriving and will drop leaves 🍃 without ample sunlight. Place it less than 3 feet from a window to maximize the potential for growth. Select your region to see how the current weather in your area affects the placement in your home 🏡. 
                        
                    ","
                    White Bird of Paradise is not safe to consume. If you, a family member, or a pet has ingested any amount of plant material contact Poison Control, US (800) 222-1222, or your veterinarian. If you have children, cats, or dogs in the home, we suggest keeping this plant out of reach. 
                    ","
                        
                        White Bird of Paradise doesn’t require additional humidity. Plants absorb most water through their root system rather than their leaves, so the best way to provide humidity for your plants is through watering the soil.
                        
                    ","
                        
                        White Bird of Paradise does best in well-draining soil. A good soil will contain lots of organic matter such as coco coir as well as perlite or vermiculite to help with drainage. Adding a handful of perlite to regular store-bought potting soil should do the trick!
                        
                    ",It’s common for White Bird of Paradise to go dormant in the wintertime and you may notice their growth slow down. Waterings should be spaced out more during this time.,"
Yes, you may see your White Bird of Paradise bloom with the right amount of sunlight and water.
                        
                    ","
                        
                        White Bird of Paradise is a clumping plant, meaning new growth will emerge from the soil around the parent plant.
                        
                    ",,"

Yellow leaves aren’t always a reason to panic, and can be a normal part of a plant’s life cycle. Unless brand new leaves are turning yellow or all the leaves change color at once, it’s likely just your plant shedding old leaves.
Overwatering and root rot are the most likely cause of problems in White Bird of Paradise, since they are sensitive to wet soil. The leaves may also appear to be curling or drooping. Less often, yellow leaves are caused by underwatering, nutrient deficiencies, or pests.
Replace soggy soil with fresh, dry soil and download Greg to make sure your plant never gets overwatered again!
"
66,Pinstripe Plant,,"Pinstripe Plant needs 0.5 cups of water every 9 when it doesn’t get direct sunlight and is potted in a 5"" pot.","Pinstripe Plant may have difficulty thriving, and will drop leaves 🍃, without ample sunlight. ",Most potting soils come with ample nutrients which plants use to produce new growth.,,"
                        
                        Pinstripe Plant prefers for the soil to dry out between waterings and should be watered regularly. Use our water calculator to personalize watering recommendations to your environment or download Greg for more advanced recommendations for all of your plants.
                        
                    ","
                        
                        Pinstripe Plant may have difficulty thriving and will drop leaves 🍃 without ample sunlight. Place it less than 3 feet from a window to maximize the potential for growth. Select your region to see how the current weather in your area affects the placement in your home 🏡. 
                        
                    ","
                    Greg does not have confirmed data on this plant’s toxicity. If you, a family member, or a pet consumes plant material of unknown toxicity, it’s always best to consult a medical professional.
                    ",,"
                        
                        Pinstripe Plant does best in well-draining soil. A good soil will contain lots of organic matter such as coco coir as well as perlite or vermiculite to help with drainage. Adding a handful of perlite to regular store-bought potting soil should do the trick!
                        
                    ",,,,,
67,Waxplant,,"Waxplant needs 0.5 cups of water every 12 when it doesn’t get direct sunlight and is potted in a 5"" pot.","Waxplant may have difficulty thriving, and will drop leaves 🍃, without ample sunlight. ",Most potting soils come with ample nutrients which plants use to produce new growth.,"
                        
                        Waxplant is generally easy to care for, though some plant parents report facing challenges with growing it. Check out the reviews down below to read more about their experiences!
                        
                    ","
                        
                        Waxplant thrives in dry soil and should be watered sparingly. Use our water calculator to personalize watering recommendations to your environment or download Greg for more advanced recommendations for all of your plants.
                        
                    ","
                        
                        Waxplant may have difficulty thriving and will drop leaves 🍃 without ample sunlight. Place it less than 3 feet from a window to maximize the potential for growth. Select your region to see how the current weather in your area affects the placement in your home 🏡. 
                        
                    ","
                    Waxplant is not known to cause harm to humans or pets. Regardless, if you, a family member, a cat, or dog has ingested any plant material, please consult a doctor or a veterinarian. 
                    ","
                        
                        Waxplant doesn’t require additional humidity. Plants absorb most water through their root system rather than their leaves, so the best way to provide humidity for your plants is through watering the soil.
                        
                    ","
                        
                        Waxplant does best in well-draining soil. A good soil will contain lots of organic matter such as coco coir as well as perlite or vermiculite to help with drainage. Adding a handful of perlite to regular store-bought potting soil should do the trick!
                        
                    ","Waxplant does not have a typical pattern of dormancy. If you notice their growth slowing down substantially, double check that they are getting enough sunlight and water to thrive!",,"
                        
                        Waxplant is a naturally climbing plant and can be trained to climb indoors if you provide a moss pole or trellis. The newest growth will emerge from the end of the stems. 
                        
                    ",,
68,Brasil Philodendron,Brasil Philodendron is a super popular houseplant 🌿 that needs regular watering to thrive. They do best in moderate sunlight 🌤 and should be less than 6 feet from a window.,"Brasil Philodendron needs 0.5 cups of water every 9 when it doesn’t get direct sunlight and is potted in a 5"" pot.",Brasil Philodendron can tolerate being far from a window and light source. ,Most potting soils come with ample nutrients which plants use to produce new growth.,,"
                        
                        Brasil Philodendron prefers for the soil to dry out between waterings and should be watered regularly. Use our water calculator to personalize watering recommendations to your environment or download Greg for more advanced recommendations for all of your plants.
                        
                    ","
                        
                        Brasil Philodendron can tolerate being far from a window and light source. Place it less than 6 feet from a south-facing window to ensure it receives enough light to survive 💪. Select your region to see how the current weather in your area affects the placement in your home 🏡.
                        
                    ","
                    Greg does not have confirmed data on this plant’s toxicity. If you, a family member, or a pet consumes plant material of unknown toxicity, it’s always best to consult a medical professional.
                    ","
                        
                        Brasil Philodendron doesn’t require additional humidity. Plants absorb most water through their root system rather than their leaves, so the best way to provide humidity for your plants is through watering the soil.
                        
                    ","
                        
                        Brasil Philodendron does best in well-draining soil. A good soil will contain lots of organic matter such as coco coir as well as perlite or vermiculite to help with drainage. Adding a handful of perlite to regular store-bought potting soil should do the trick!
                        
                    ","Brasil Philodendron does not have a typical pattern of dormancy. If you notice their growth slowing down substantially, double check that they are getting enough sunlight and water to thrive!",,,,
69,Blue-Stem Yucca,"Blue-Stem Yucca is a super popular houseplant 🌿 that is easy to grow and needs very little water to thrive. They do best in long-lasting, direct light ☀️ and should be less than 1 foot from a window.","Blue-Stem Yucca needs 0.5 cups of water every 12 when it doesn’t get direct sunlight and is potted in a 5"" pot.","Blue-Stem Yucca love being close to bright, sunny windows 😎.",Most potting soils come with ample nutrients which plants use to produce new growth.,"
                        
                        Blue-Stem Yucca is generally considered an easy-to-care-for plant and makes a great choice for beginners!
                        
                    ","
                        
                        Blue-Stem Yucca thrives in dry soil and should be watered sparingly. Use our water calculator to personalize watering recommendations to your environment or download Greg for more advanced recommendations for all of your plants.
                        
                    ","
                        
                        Blue-Stem Yucca requires abundant, bright and direct light. Place it less than one foot from a window to ensure it receives enough light to survive 💪. Select your region to see how the current weather in your area affects the placement in your home 🏡. 
                        
                    ","
                    Greg does not have confirmed data on this plant’s toxicity. If you, a family member, or a pet consumes plant material of unknown toxicity, it’s always best to consult a medical professional.
                    ",,"
                        
                        Blue-Stem Yucca does best in well-draining soil. A good soil will contain lots of organic matter such as coco coir as well as perlite or vermiculite to help with drainage. Adding a handful of perlite to regular store-bought potting soil should do the trick!
                        
                    ",,,"
                        
                        Blue-Stem Yucca will branch off as it grows. To encourage branching, pinch off the newest growth at the tip and the stem will branch off into two.
                        
                    ",,
